Slide #,Slide Title / Description,Core Message / Theme,Key Talking Points,Suggested Questions to Engage Prospect
1,Cover Slide — Mandarin Oriental The Residences West Palm Beach,First impression: establish prestige and brand,"Welcome your prospect by name. Let the logo breathe — do not rush past this slide. This is one of the most recognized luxury hospitality brands in the world, now offered as a private residence. Say: 'What you're about to see is truly a once-in-a-generation opportunity in West Palm Beach.'","Have you stayed at a Mandarin Oriental hotel before? What did you love most about that experience?"
2,Brand Transition — Tropical Palm Frond / MO Fan Logo,Brand identity and sense of place,"Use this as a natural pause. The palm frond imagery signals tropical, lush, and private living. MO's iconic fan logo ties global luxury heritage to this specific Florida address. Reinforce: 'Everything here — from the imagery to the architecture — has been curated to reflect the very best of this place.'","What draws you to the West Palm Beach / Palm Beach area specifically?"
3,Property Overview — Building Exterior Render + Intro Copy,Introducing the project: intimate scale + iconic design,"Read or paraphrase the copy: 'Set along a private shore of the Intracoastal Waterway, enveloped in tranquil tropical gardens — a new era of refined waterfront living.' Key facts to emphasize: Only 87 residences (extremely limited); Designed by Safdie Architects led by Moshe Safdie — the architect behind Marina Bay Sands and Jewel Changi Airport; Private beach-inspired waterfront setting on the Intracoastal Waterway. Say: 'When you have only 87 homes in a building of this caliber, you're not just buying a residence — you're securing one of the rarest addresses in all of South Florida.'","What does 'home' feel like to you at this stage of your life? Are you looking for a lock-and-leave lifestyle, or a full-time base?"
4,Exterior Render — Podium / Pool Level Close-Up,Visual impact of the building's base and resort amenities,"Let this image speak for itself for a moment. Then guide: 'Notice the resort-style pool, the lush landscaping, the private beach area — all right at the water's edge. This is what greets you every single day.' Highlight: The sweeping architectural curves by Safdie; The multi-tiered podium with layered amenity spaces; The private beach-inspired setting with direct waterfront access.",How important is outdoor living and waterfront access to your daily lifestyle?
5,Waterfront Pool & Lifestyle — 'Life by the water unfolds…',The feeling of living here — calm and effortless luxury,"Quote the copy: 'Life by the water unfolds as a seamless extension of home — calming, inviting, and beautifully serviced.' Key points: Private cabanas available; Resort-style pool overlooking the Intracoastal; Poolside bar and food & beverage service by Mandarin Oriental. Say: 'This isn't a shared community pool — this is a curated beach club experience, exclusively for 87 families.'","Do you envision entertaining here, or is this more of a personal retreat for you?"
6,Landscape & Gardens — ENEA Design + Indoor-Outdoor Living,Nature as architecture — seamless indoor-outdoor connection,"Introduce ENEA: 'The landscape architecture was designed by ENEA — an internationally award-winning firm from Zurich, with offices in New York and Miami. They've created layered tropical gardens, private garden alcoves, shaded walkways, and natural thresholds between spaces.' Key message: 'At Mandarin Oriental Residences, nature isn't a backdrop — it's woven into how you move through the building every day.'","Do you spend a lot of time outdoors? What does your ideal outdoor living space look like?"
7,Service Philosophy — 'In Residence' Lifestyle Card,'Life shaped by intuitive and thoughtful service',"This slide introduces the heart of the MO difference. Read or paraphrase: 'Daily experiences are elevated through care, craft, and quiet precision — details both seen and unseen, thoughtfully orchestrated to transform the everyday into something truly exceptional.' Emphasize: This is not a condo building with a concierge desk. This is a Mandarin Oriental hotel-service platform, inside your private home. The MO team knows who you are before you ask.","Have you ever lived in a full-service building before? What did you love — or wish had been better?"
8,Wellness Philosophy — Singing Bowl / Spa Imagery,'Wellbeing is not an amenity apart — it's a rhythm of residential life',"Introduce MO's award-winning wellness heritage: 'Mandarin Oriental is globally recognized for its spa philosophy — rooted in mindfulness, balance, and time-honored Asian practices.' Key message: 'For residents here, world-class spa and wellness is not a membership you have to drive to. It is woven into your daily routine, steps from your front door.' This slide sets up the full wellness spec on the next amenity slide.","How important is wellness — spa, fitness, meditation — to your everyday routine?"
9,Fact Sheet — The Building & The Residences,Hard specs and key differentiators — the 'why this building' slide,"THE BUILDING: 31-story tower | 215 linear feet of direct waterfront | Safdie Architects (Moshe Safdie) | Interiors by Studio Munge | Landscape by ENEA | Lighting by Schwinghammer | Water's edge pool + rooftop pool | 87 bespoke residences | Private dock with boat slips* | Guest suites | 24-hour security | Private porte-cochère | Allocated self-parking for every residence | Valet parking | EV charging infrastructure. THE RESIDENCES: Private elevator access | Double-door main entrance | Panoramic terraces with Intracoastal & Palm Beach views | Natural stone flooring (wood option available) | Built-out walk-in closets in all primary bedrooms | Midnight bar with refrigerator in primary bedrooms | Multi-zone A/C | Pre-wired smart home | Full laundry room | Select residences: en-suite staff quarters with full bath | Optional layouts on select units. Say: 'When you compare specs like this side by side with other luxury buildings in the market — nothing else checks every box.'","Which of these features stand out most to you? Is there anything on this list that's a must-have for your lifestyle?"
10,Amenity Offering + Kitchens & Bathrooms Specs,The residences are finished to the highest specifications — no upgrades needed,"AMENITY OFFERING: Thoughtfully curated collection set within a landscaped multi-tiered podium. Distinct spaces for relaxation, dining, and connection. KITCHENS: Wolf & Sub-Zero appliances throughout | Sub-Zero fully integrated refrigerator/freezer | Wolf oven + convection oven | Wolf gas cooktop | Sub-Zero wine refrigerator | Wolf coffee machine (select residences) | Premium dishwasher | Custom cabinetry with designer fixtures | Natural stone countertops & backsplash | Walk-in pantry (select residences) | Optional privacy glass door system. BATHROOMS & CLOSETS: Primary bath with soaking tub, smart toilet & multi-function shower | Natural stone flooring in primary baths | Studio Munge-designed vanities | Designer fixtures | Private water closets | Optional infrared sauna | Optional make-up vanity. Say: 'Every kitchen and bathroom is delivered at a level that other buildings charge $200,000+ in upgrades to reach — it's built in.'","Do you love to cook? Is entertaining at home a priority for you?"
